12th percentage,cet rank,distance,branch,college
61.9,153962,5,CE,E160
74.6,10242,658,AE,E014
65.4,140300,3,ME,E169
65.7,40796,802,ME,E265
65.2,69859,191,AE,E208
66.1,85251,229,ME,E085
68.2,45113,253,EE,E076
65.3,131985,969,CE,E090
76.9,16795,943,CE,E002
80.1,5476,7,ME,E009
71.3,61654,15,CS,E091
59.8,231610,506,CE,E180
70.6,8892,4,EC,E107
71.1,14646,862,CS,E108
70.6,100685,573,EC,E254
70.3,40861,873,ME,E059
81.6,1202,633,CS,E007
71.7,450834,749,CE,E254
79.8,22568,828,IP,E061
77.6,11984,394,EI,E047
64.8,43259,460,EE,E176
64.1,34767,13,EE,E128
67.3,171936,721,EC,E139
80.5,2453,135,CS,E097
57.8,272312,803,ME,E035
81.1,13013,13,TC,E006
83.4,3265,2,BT,E006
57.5,92046,17,EE,E086
58.2,187267,12,IE,E113
56.7,121153,4,CE,E070
70.7,143806,982,EE,E028
76.4,24473,289,EC,E071
63.3,126865,11,ME,E017
75.4,26466,5,ST,E002
71.8,13525,5,ME,E030
72.3,151137,996,EE,E043
61.5,46657,748,EC,E104
58.8,70964,12,CS,E186
70.4,57106,300,CS,E164
65.8,83773,659,CS,E272
60.4,30487,148,CE,E043
79.4,12689,15,EI,E006
60.9,41240,12,CE,E031
88.5,3840,5,TC,E048
59.8,43809,475,CS,E061
56.3,253447,81,CE,E182
75.8,28116,19,CS,E239
66.8,93575,20,EC,E045
62.5,262859,240,ME,E081
67.5,108849,269,ME,E207
81.3,27068,17,CS,E133
65.8,90836,11,CE,E258
77.2,9700,20,CE,E007
87.9,2393,7,EC,E057
78.2,22276,13,EC,E091
71.7,40993,2,CS,E147
66.6,105034,20,CE,E094
62.8,95340,9,EC,E272
72.5,68952,155,CE,E014
70.9,31056,362,CT,E007
78.7,22478,903,CS,E274
59.6,37281,321,CE,E114
82.8,10297,16,ME,E001
71.9,17949,121,ME,E030
63.2,42104,657,EC,E018
82.3,7462,705,BT,E016
60.3,68654,16,CS,E208
72.1,95377,18,ME,E086
82.7,20042,405,CE,E021
82.7,15512,147,EE,E062
80.8,15419,492,EC,E058
65.7,288769,678,CE,E204
71.5,64051,458,ME,E008
75.7,22708,951,CE,E126
75.2,16693,5,CS,E232
66.5,36783,496,CE,E099
78.5,15929,2,IE,E034
62.7,65384,18,MT,E095
76.1,13350,415,CS,E103
81.2,19748,14,IE,E049
62.8,80470,3,CS,E172
79.3,14131,323,AU,E007
61.5,85198,540,IE,E087
80.9,26290,501,CS,E018
76.7,25972,3,IE,E062
56.4,44461,261,ME,E041
70.7,41719,360,CS,E189
56.2,72024,840,CE,E087
63.4,35956,2,CS,E173
66.4,33765,9,ME,E097
66.5,80595,942,IE,E100
59.3,59844,974,CE,E175
88.6,4572,21,CS,E129
61,35084,428,CS,E015
64.7,88260,893,CE,E119
61.5,56377,7,CS,E172
59.7,31545,636,CE,E060
74,19626,13,EI,E047
70.2,94330,788,CS,E153
70.8,37169,4,CE,E185
59.9,47862,10,TX,E032
77.8,13450,751,AE,E011
79.9,24701,148,CS,E155
71.6,100656,5,CS,E035
69.7,50656,299,ME,E160
58.8,95183,17,EE,E112
70.3,178496,13,ME,E015
79.4,6553,796,CS,E037
61.5,88231,295,TX,E062
61.9,214478,543,CE,E054
57.8,39184,18,ME,E059
66.5,195100,89,ME,E014
70.6,31797,431,EC,E079
81.6,29696,15,IE,E212
73.2,6929,12,CE,E007
56.7,81847,921,CS,E204
75.6,28721,4,EC,E078
79.9,13394,311,EE,E022
64.4,70085,14,EC,E028
89.9,1676,490,TC,E005
68.7,56184,14,CE,E095
56.7,58515,300,CE,E164
60,172492,213,ME,E042
63.1,91821,856,EE,E106
63,97642,566,EE,E102
70.7,30805,17,ME,E034
64.1,138993,14,ME,E086
57.4,33720,578,EC,E209
60.6,57449,113,CE,E209
72.1,16874,7,AE,E042
71,49502,13,EC,E102
68.1,126301,883,EC,E176
67,59744,420,IE,E114
80.8,9325,21,CS,E151
72.2,24873,276,IE,E108
66.5,60062,850,EE,E096
73.3,11726,760,EC,E078
81.6,20256,643,CS,E111
63.3,60594,529,EC,E171
68.4,185546,9,MT,E095
64.8,138777,2,ME,E134
62.7,111053,646,IP,E047
58,118997,334,EE,E185
82.2,26743,839,CE,E158
56.8,67847,12,ME,E106
58.8,41375,358,CS,E087
64.5,93405,20,CE,E265
77.3,18784,10,IE,E058
64.2,35227,9,BM,E186
72.7,69299,599,CE,E213
73.9,14325,9,CE,E057
59.2,55516,19,CS,E153
78.2,7848,770,AE,E079
74.3,21254,19,EC,E150
62,56362,736,BT,E055
59.6,46557,20,AU,E058
69.9,31786,858,CE,E034
72.8,21671,21,BT,E062
82.1,11603,123,IE,E097
86.8,1718,221,CS,E005
64.6,192547,409,CE,E110
76.5,17861,134,ME,E053
78,23265,7,IE,E108
80.5,22843,401,EC,E196
80,24566,613,CS,E040
56.3,129997,7,IE,E130
61.7,84244,15,CE,E204
81.3,24519,15,EI,E008
70.4,25588,18,CE,E041
74.4,6144,306,ME,E048
